"Date","Tickers"
"2008-04-29","NYT GCI NWS TWX CHTR SGP PARR CVA COSN ECA IVV USO MMSI HBRF CGI CHE"
"2009-02-16","PAYX SCHW TRN DRI SH ACPW XIDEQ ENS AAPL KOL PKOL PFE WYE OIH USO"
"2007-01-18","WIT MNRO ABY INTU OBQI TSP S ICE HTI EWZ RI DEO LVMUY WDC VOD HTX BJGP GILD COP APC CVX FRX"
"2009-02-17","TLT TBT GLD GM F SD NPD NLY SAXPY DRYS JNJ WMT IAU CSE INVA STAR KGC EGO IAG EWZ PBR BRGYY AGT CGR UXG NAT"
"2006-08-25","WILC SCHN TINY"
"2009-02-15","CKSW RY BNS TD PG CSCO AAPL KMR TOO BMY EQ ETN CIG ABT AZN JNJ"
"2016-05-31","VZ AMZN HOPS WFM CNCE PTLA ABBV TTNP OI IBM MAYS GOOG GOOGL DIRI GERN MIK ESTE TSLA DG BGSF M TORSF RLYP NILSY QCOM NYCB BAC C ICPT SVRGF AMD DLTR PSX KO TXRH FSLR SPPGF GXOCF CLCT RRENF USB SALM HUSKF AAPL TVPT XSLV FNMA DPLO RRC FCX CBS LYG WFC PRTY PDCO SEB FSI MO UNFI IONS LB KIRK SCTY FIT BBBY JKS ONDK"
"2016-05-30","TWX BBRY AAPL WYNN CPLP AAL QCOM KTOV SRT SPLK FCEL SHPG SSNLF FDX LVLT FRGI NVDA FRAN NSU MO OXY CTSH MANU EA DG MON GME WFM SFM BIG GS PSX AMZN SIAF LGCY PBR LOV ATVI"
"2009-12-11","DPS CSG MCD AAPL FIG MKC EOG WMT SWY S PG UL JNJ CNVR YHOO SNSS FCFS EZPW AEA SYK SPY DIA QQQ FSYS AMSC EWJ QTM IPSU"
"2014-08-09","CVS FCX F AAPL VRSN SQM LIT TSLA AGCO RIC MTTRY SBSI ALNY RIG MWA MSLP LOPE JMBA PEBO XRM BZH BCEI KEG NBIX ADRNY NBL EXC MMM LF CALL NOK AAU"
"2014-08-08","KORS FOXA GM DIS MRIN S ELLI KMP NVDA GE SANW ABX WFM ATVI EBIX MDFZF SLW COP F GWPH LORL AAL EXK TGB SDRL GST GDPM DEPO DRYS ARDM ABUS ANRZQ RDC REGN MSFT MRO OWW MNTX TSLA MNK GNE NQ KGC TNXP SMCI CG TSEM OSTK ARCB WBA GMCR HAL ORIG VIVEF VIVHY CM SAM ZNGA RF PNRA FB TSN AUSDF LNKD"
"2008-04-23","MON MSFT AAPL PM TSL STP SPWR EXAC SEED SU E PBR MCD TRN ZNH ACH ADG STJ YUM YHOO"
"2014-08-01","BWLD HAL WMT FCEL CMG CAG CHL NXPI UURAF SIRI WHR COP MSFT F TTEK DFS PG SLCA LVS TSCDF TSCDY CMCSA MIC FB BBRY CSX CCJ EPD BYI TSLA COT MONIF JJSF BUD AB BORUF GOOG GOOGL ACM CMI CAVM SYF ABBV UFS NADL GRPN XOM LSG ICON CIMT DLR PNAJF PCOM SLB ALL ARGT BFR BMA INBK NFLX KLDX SIMO DIS AZN TREE SNE NSANY KO GLW AMD BABA QIHU BEAV IBM GTATQ SKUL"
"2014-08-03","KORS SIRI BBRY SBUX CMG PVAHQ CHD DWA LGF F DD DG APC ZOES AMZN NFLX COH COP GSVC WDR CHK ATO YUM SKUL JAKK BUD MSFT CSCO"
"2014-08-02","BBRY EDU PRGB FLY CLUB BAH GPRO HWAY ROL PWR SPWR AKS AMG AYI KW LVLEF CTSH CHGG RAD TWMJF VNHIF AMZN"
"2014-08-05","KHC BREW JKS BBRY BP FDO INTC X ONCS BRKA BRKB BIP KORS PALL COP TSLA LUV SSYS TD CDE DCTFF AMZN LNKD IBM APHB PBPB IMAX CVS GILD ABBV ISRG PXD MU YELP HERO PALAY CYTK JCP SGMS DIS HIMX PIRGF BWLD INVE AMGN RGLD APRI ABUS LGORF AAPL ESV FCEA FCEB MO AFOP RKUS AXP HLF MCHP SWHC NUIN NSR TMHC STON SCGLY TMQ ORVMF SEAS GOOG GOOGL MDVN MDC MTW BRFS SNMX GEOS MNTA AZN GG VRSN AIG SIRI FB PG JOY YNDX DDD MTOR SDRL AXAS ESI GNW PVAHQ MMM SBUX S CASY URBN LNG MT TWTR EADSF KR CMG NSC F"
"2014-08-04","HES CMG CLF F FOXA KORS X DE ASML DATA QUIK ECYT RXII LQDT FLT AAPL PTR SLCA EMN AMD WLMIF GILD BRKA BRKB KNDI ORCL LNG S PBCT PESAF LYRI IGXT AA TNXP INTC NG BKYF ICE SORL WLT CPHD GE JIVE IVZ KOG SGCNF KEY WCG RCI GRMN ATML MSFT BA SIRI AVL GWMGF LYSDY CAT BDX BAC ATW NKE NKTR CASY DVAX TSLA WFM TJX RGR SYF METR AMRN PM BX BUD LSG GOGL GLW SODA AFL GOOG GOOGL SBMRY DAL TWGP"
"2014-08-07","GTKYY VRNS GNTX MSFT CORN CVX NGD CKSW PTCT RGR EBAY WFM CHGG WLT BTUUQ MCPIQ WBA TSLA TWTR CELP AKAM DPS TWX IRM JFBHF ZBRA MS XONE MU FHCO TGT FB CECO VMW COLM IBM IPHS PT QCOM HIMX WDC NESRF IBCA WY AAPL AIG ARO WMGI T NKTR GRPN EFSC AT PLUG SNY ONVO OCAT BAC AUY TMUS ATVI GDPM BEBE FPRUF STRA AMD EGHT TDC NZEOF CPE PRAA BBRY SSRI AMZN RIG TCPTF FSLR COST FUEL BWLD MNDJF KO BHI SIRI RSH HON ATRO LMT CALL PCLN SPCB ERN DRYS LNG"
"2014-08-06","OLED MSA AMZN AIG JRJC DSNY UPLMQ ALSK EOG HAL YHOO AAPL MRO XOM SCTY CL INTC MMM Z CAT TWX TMO TMUS ARCH DDD GILD INO BBRY GDPM RIO SJM LEMIF BAC MNKD ENTCF ARKR BBY GM GD RYAM OXY RAD MCD TASR MSFT AMBS ANY KMB AFL RENFF IACAF PFE KBR TREVF UTX LYG DO PVG RDI KO YPF FCEL LOCO FCX PNRA CHK CRDS RGLD KORS DISH MMYT LGIH NGD PM DANG"
"2011-05-06","BYD GE GAS ATPAQ MNK PM MNKD GNBT MJDLF CPRT"
"2011-05-05","ANIK MFW ACLS GD BKE ARO PVSW IBM ORCL PBR HBAN FITB KEY YHOO ITT SNWV PACR HUBG JBHT GOOG BAS NOG STO AAPL AMZN"
"2011-05-04","MJN KMP ADTN AMZN NFLX AKAM AVNR BTUI GLW KOOL TEVA CEPH BIIB HES CLR EOG AMGN SPY LVS WYNN MPEL TESS LVLT GLBC AAPL"
